snd	0.01	S	0	0	0
rcv	0.03	SA	0	0	1
snd	0.03	A	1	0	1
snd	0.03	D	1	150	1
rcv	0.03	A	1	0	151
snd	0.03	D	151	150	1
rcv	0.03	A	1	0	301
snd	0.04	D	301	150	1
rcv	0.04	A	1	0	451
snd	0.04	D	451	150	1
rcv	0.04	A	1	0	601
snd	0.04	D	601	150	1
rcv	0.04	A	1	0	751
snd	0.04	D	751	150	1
rcv	0.05	A	1	0	901
snd	0.05	D	901	150	1
rcv	0.05	A	1	0	1051
snd	0.05	D	1051	150	1
rcv	0.05	A	1	0	1201
snd	0.05	D	1201	150	1
rcv	0.05	A	1	0	1351
snd	0.05	D	1351	150	1
rcv	0.05	A	1	0	1501
snd	0.06	D	1501	150	1
rcv	0.06	A	1	0	1651
snd	0.06	D	1651	150	1
rcv	0.06	A	1	0	1801
snd	0.06	D	1801	150	1
rcv	0.06	A	1	0	1951
drop	0.06	D	1951	150	1
snd/RXT	0.78	D	1951	150	1
rcv	0.78	A	1	0	2101
snd	0.78	D	2101	150	1
rcv	0.79	A	1	0	2251
snd	0.79	D	2251	150	1
rcv	0.79	A	1	0	2401
snd	0.79	D	2401	150	1
rcv	0.79	A	1	0	2551
snd	0.79	D	2551	150	1
rcv	0.79	A	1	0	2701
snd	0.79	D	2701	150	1
rcv	0.79	A	1	0	2851
snd	0.79	D	2851	150	1
rcv	0.79	A	1	0	3001
snd	0.79	D	3001	150	1
rcv	0.79	A	1	0	3151
snd	0.80	D	3151	150	1
rcv	0.80	A	1	0	3301
snd	0.80	D	3301	150	1
rcv	0.80	A	1	0	3451
snd	0.80	D	3451	150	1
rcv	0.80	A	1	0	3601
snd	0.80	D	3601	150	1
rcv	0.80	A	1	0	3751
snd	0.80	D	3751	150	1
rcv	0.80	A	1	0	3901
snd	0.80	D	3901	150	1
rcv	0.80	A	1	0	4051
drop	0.80	D	4051	150	1
snd/RXT	0.94	D	4051	150	1
rcv	0.94	A	1	0	4201
snd	0.94	D	4201	150	1
rcv	0.94	A	1	0	4351
snd	0.95	D	4351	150	1
rcv	0.95	A	1	0	4501
snd	0.95	D	4501	150	1
rcv	0.95	A	1	0	4651
snd	0.95	D	4651	150	1
rcv	0.95	A	1	0	4801
snd	0.95	D	4801	150	1
rcv	0.95	A	1	0	4951
snd	0.95	D	4951	150	1
rcv	0.95	A	1	0	5101
snd	0.95	D	5101	150	1
rcv	0.95	A	1	0	5251
snd	0.96	D	5251	150	1
rcv	0.96	A	1	0	5401
snd	0.96	D	5401	150	1
rcv	0.96	A	1	0	5551
snd	0.96	D	5551	150	1
rcv	0.96	A	1	0	5701
snd	0.96	D	5701	150	1
rcv	0.96	A	1	0	5851
drop	0.96	D	5851	150	1
snd/RXT	0.99	D	5851	150	1
rcv	0.99	A	1	0	6001
snd	0.99	D	6001	150	1
rcv	0.99	A	1	0	6151
snd	1.00	D	6151	150	1
rcv	1.00	A	1	0	6301
snd	1.00	D	6301	150	1
rcv	1.00	A	1	0	6451
snd	1.00	D	6451	150	1
rcv	1.00	A	1	0	6601
snd	1.00	D	6601	150	1
rcv	1.00	A	1	0	6751
drop	1.00	D	6751	150	1
snd/RXT	1.02	D	6751	150	1
rcv	1.02	A	1	0	6901
snd	1.02	D	6901	150	1
rcv	1.02	A	1	0	7051
snd	1.02	D	7051	150	1
rcv	1.02	A	1	0	7201
snd	1.02	D	7201	150	1
rcv	1.02	A	1	0	7351
snd	1.02	D	7351	150	1
rcv	1.02	A	1	0	7501
drop	1.03	D	7501	150	1
snd/RXT	1.04	D	7501	150	1
rcv	1.04	A	1	0	7651
snd	1.04	D	7651	150	1
rcv	1.04	A	1	0	7801
snd	1.04	D	7801	150	1
rcv	1.04	A	1	0	7951
snd	1.04	D	7951	150	1
rcv	1.04	A	1	0	8101
snd	1.04	D	8101	150	1
rcv	1.04	A	1	0	8251
snd	1.04	D	8251	150	1
rcv	1.04	A	1	0	8401
snd	1.05	D	8401	150	1
rcv	1.05	A	1	0	8551
snd	1.05	D	8551	150	1
rcv	1.05	A	1	0	8701
snd	1.05	D	8701	150	1
rcv	1.05	A	1	0	8851
snd	1.05	D	8851	150	1
rcv	1.05	A	1	0	9001
snd	1.05	D	9001	150	1
rcv	1.05	A	1	0	9151
snd	1.05	D	9151	150	1
rcv	1.05	A	1	0	9301
drop	1.05	D	9301	150	1
snd/RXT	1.06	D	9301	150	1
rcv	1.06	A	1	0	9451
snd	1.06	D	9451	150	1
rcv	1.06	A	1	0	9601
snd	1.06	D	9601	150	1
rcv	1.06	A	1	0	9751
snd	1.06	D	9751	150	1
rcv	1.06	A	1	0	9901
snd	1.06	D	9901	150	1
rcv	1.06	A	1	0	10051
snd	1.06	D	10051	150	1
rcv	1.06	A	1	0	10201
snd	1.06	D	10201	150	1
rcv	1.06	A	1	0	10351
snd	1.07	D	10351	150	1
rcv	1.07	A	1	0	10501
snd	1.07	D	10501	150	1
rcv	1.07	A	1	0	10651
drop	1.07	D	10651	150	1
snd/RXT	1.07	D	10651	150	1
rcv	1.07	A	1	0	10801
snd	1.07	D	10801	150	1
rcv	1.07	A	1	0	10951
snd	1.07	D	10951	150	1
rcv	1.07	A	1	0	11101
snd	1.07	D	11101	150	1
